Besakih,Sacred,Kuta,Mount,Aling,Grandmas,Amnaya,Radisson
"The ticket price includes the entrance fee, a motor scooter ride up the to the temple itself and a guide. We have our own sarong (essential kit if you want to visit several temples in Bali and show respect for local culture). At the entrance you will probably be surrounded by…",Great place to spend few hours in a cool shadow of tropical rain forest. Cute monkeys are everywhere and taking a photo with them is so much of fun :),"One of the world's most famous beaches and no trip to Bali, is really 100% complete, without a visit to the saltwater. And, Kuta Beach is so much more than just sand and sea. It is also a bustling commercial and social hub, for both international tourists, as well as the local…","Highlights of Ubud Tour. Although we didn't do a trek up to the top, we still enjoyed the beautiful view of Mount Batur and Kintamani lake on a bright sunny day. Also enjoyed some local fruits like passionfruit, mangosteen from local shops. Not to be missed attraction on Ubud…",This waterfall is about 20 minutes South of Singaraja in North Bali. It costs 1250 K IDR for the waterfall and adventure package - which is what you should do.   There are a lot of uneven steps down to the falls and jumps so it is not for the unfit or mobility impaired.  The…,Rooms were great. Just what you need for a place to hide away after you explore Kuta. Close to beach. Security at the hotel is incredible and Septi and Ari made sure we were well looked after. Always kind and welcoming.,"My girlfriend Rita and me spent 2 weeks in this fabulous hotel. They were so kind as to give us a free upgrade for a suite for the time of our stay which was a very generous offer, and the staff truly tried to fulfill all of our wishes in an instant. Especially Darma and Ari from the front desk were extremely helpful and friendly. You get 5* service, many waiters and waitresses greet you by your name after a while. We really felt at home <U+0001F3E1> there. Breakfast was amazing, it’s not a buffet but you’re full for the whole day from it. Definitely need to try the Chef’s Special and the Soft Shell Crab <U+0001F980>.  Afternoon tea at the pool is superb, and the whole place is just minutes from the beach. These two weeks passed by as if they were just seconds. Will definitely go back there next…","It's hard to just say a few good things about this place as after spending 7 days here with my girlfriend in march.  The heart and soul of this place is the staff, more attentive, customer service minded and helpful staff is hard to find even in Bali. Ega at the reception and Reana at the restaurant bar shined a little extra. That being said ALL of the staff were absolutely amazing.   The rooms? We had the suite and boy was it worth it. A huge balcony going around our room, with the most insane view of the ocean. Massive room with a great bed and aircon.   The restaurants were great and we ate here almost everyday because of the lockdown and Nyepi.   Location is also amazing if you plan on going to Omnia (the hotel has deals) or Sunday beach club.   This is a real 5 star and…"
"This is such a beautiful temple. It’s really big, and there’s such a peaceful atmosphere to walking around. We were there during a ceremony, which was so special to see too.   It’s a ton of walking, but it’s so beautiful. Be careful of all the tourist traps. People try to insist…","Very beautiful jungle forest where you can walk and enjoy the ambience and watch how monkeys do the daily activities. Be careful if you want to feed the monkeys as its not allowed there, but the monkeys was not aggressive, so we brought some peanuts with us and made some funny…",Massive beach with plenty of space for everyone ! quite relaxing and very sunny most of the times ! the sea thought is very rough and you cant swimm because the waves are big and there is many people surfing! if you are a surfer is amazing !,"Although having arranged and organised our Mount Batur Sunrise hike with Discova, the 3am pick up still found us groggy and slightly under-prepared. Nevertheless, on the 2 hour drive from Ubud our Discova guide talked us through what to expect from the climb. Upon arriving at…","This waterfall could be a great option if you chose to vist North Bali. You can trekking with a really low ticket price but if you're going to swim and jump down the waterfalls, you're gonna need a local guide with a price that is a higher, but trust me it's worthy.","Friendly and accomodating staff. Septi from the reception and Adi, one of the servers most especially.  On our second day, I requested for yogurt and granola (which was one of the main courses the previous day) but it wasn't available. (The hotel changes their main course menu every two days.) I appreciate that Adi checked the kitchen for me and when it wasn't available, he promised that he'll, have yogurt and granola ready for me the next morning. And he delivered. I really appreciate it.  I love that breakfast menu is concentrated on local dishes too, letting the guests have a taste of Indonesian cuisine.   The beds are comfy too. Water pressure and temperature is good. The only downside for me is that the lighting in the room was quite dim so it was a little challenging when…","I have traveled around the world since retiring ten years ago, and during that time have stayed at dozens of hotels from Cape Town, the Caribbean, Dubai, Hong Kong, South East Asia,  and all points in between, and I can honestly say that this hotel stands out as one of the very best I have experienced..it is brand new, the rooms are luxurious and spacious with over-sized comfortable beds and large flat screen TV's with cable and include nice touches like installed water softeners. Staff are extremely attentive and helpful, and there are elements of quality usually associated with five star marquee brands at a fraction of the cost; The restaurant and food are fabulous, the pool is beautifully designed, and the gym is equipped with the latest high tech equipment, with the beach…","best hotel I have ever stayed in!! Every aspect of the hotel was absolutely beautiful and immaculate, really couldn't have asked for a better stay (despite the circumstances of having to stress about getting a flight home due to Covid-19 the staff made the stay as relaxing and pleasurable as possible!)"
"The temple itself is situated at the base of Mount Agung,an active volcano, and right at the edge of the exclusion zone as the volcano continues to erupt and has done so the last few years. Be mindful of current warnings as if there is an eruption there's essentially one road…",Well set up and great place to view the monkeys antics in a beautiful setting nice place just to walk around,"Kuta Beach is very hectic. I used to have a long stroll here. Nice for people watching.  It is crowded with tourists, there are those who just want to sit and drink all day long.  I did find the beach was relatively clean, there were people enjoying the surf or just messing…","Climbed the mountain on Christmas Day. It was an eventful, thrilling and tiring trek, yet very rewarding.  Woke up in the wee hours ard 2am to prepare. Started trekking ard 4-5+am. It was pitched dark. Its good to bring along torchlight or headlight. The whole trek took about…","This one cost 125k per person but was well worth it.  We were given two guides, who walked us down to the first waterfall.  Here you can don a lifejacket and slide down a natural waterslide, and jump off a 5m platform into the water.  Then they take you to the 10m platform, then…","Very Recomended hotel in Bali. Special thank’s to the staff Tina, Bawa, Wisnu, Ali & sanjaya,  good job guys! Excellent  service  <U+0001F929> Very cheap price & nice room. Breakfast also delicious. I’ll be back soon",The luxury chains need to take a leaf from Amnaya; they know the true meaning of hospitality.  There's hardly anything to fault at my stay at Amnaya Benoa. Absolutely delightful. The staff were all personable and incredibly well-trained.,"The hotel is very beautiful...love the huge room also the pool. All the staff was really helpful. The spa treatment was really nice as well. Wangi did a great job. And Handre at breakfast was so nice. Overall, it was wonderful stay, highly recommend!"
This is one of the iconic temples in Bali!  It's a lot of stairs and very beautiful.  I would say it's a MUST SEE!,"I never thought I would love my walk around this place. They have preserved it very well. Monkeys are cute but naughty as well, very playful. Staffs around are very helpful with photos and directions. Oh, and there is a small gallery with collection of art works of various…","Amazing God , amazing beach, so many peoples like to use their time for waiting a sunset every day.  If you stay at Kuta. Go there guys :)  I Will go there again because when i take a picture that day ia cloudy.  Covid 19 makes all beach at Bali close","Climbing Mount Batur was not on our itinerary, despite a sunrise hike being the most popular thing to do in the area. I'd read up before our trip and the active volcano seemed reasonably challenging to hike and there was always the problem of us not really having the correct…","This place is not just for seeing waterfalls, but is the best nature waterpark in Bali. You can have a lot of fun there. On the top you get guide, they are really friendly and they show you 3-4 waterfalls. It is possible also jump from them if you have courrage<U+0001F60E> in the end you…","The service at this hotel is the best I've ever experienced. The staff is so incredibly helpful. They said ok to every request we made. They got us extra towels, let us store our bags late, found us umbrellas, did our laundry, got us all kind of special breakfast items. They wrote us a hand-written note to apologize. What !?! I can't thank Septi, Grace and Gusti enough. Thanks for the umbrella at night Tina! Thank you Angur! Yoga or the hotel managers at this place are doing a fantastic job. As people have pointed out, the rooms are on the smaller side but the service and dedication of the staff at this hotel more than makes up for everything!","We had a fantastic stay at the Amnaya Benoa Resort hotel. The service is great all the time. The rooms are very spacious and well furnished with nice amenities and everything working (TV, airco etc.). The food and breakfast were great. A nice pool, nothing too big, but normally also not too busy because of the relative hotel size. Nice smells everywhere and clean.  Special thanks to Arnawa for his personal service.","I stayed here for 2 days in March 2020. All of the staff were excellent, very kind and accommodating. Location was good, close to a couple of beaches and the Uluwatu Temple. They also offer a free shuttle service (though I was unable to use it due to the nCoV closing down these spots). I would definitely stay here again.  Pros: - Good location with free shuttle service - Excellent staff - Great pool area - Breakfast was good, varied selection - Large, comfortable, clean rooms  Cons: - None!"
"The temple is on the southern slopes of Mount Agung, the principal volcano of Bali. When you arrive there will be many people around. After you buy the ticket, ($60,000 Rupiah each; which includes entrance, a sarong, and one way trip up the hill to the entrance gate by scooter),…","One of our first stops in Ubud and it didnt disappoint, you just have to watch out for the monkey. As I sat down to rest on a wall, I was approached by a monkey who wanted me to hold it. I quickly realized that they work in pairs. One butters you up while the other eyes you up…","You should go there because:  - When in Bali, one must do the touristy thing of visiting Kuta Beach  You should leave immediately because: - All the beach vendors know you are a tourist and will swarm up on you to get you to buy whatever it is they are well - Even after you…","I joined a sunrise trekking tour last year,it was organized by Batur Volcano guesthouse where i stayed in June.it is one on one guided tour,the price is reasonable,the tour start at very early morning,my guide Yoki came to my room and  knocked the door to wake me up,i was…","Wow what can we say the waterfalls were beautiful and getting to slide down a waterfall was a once in a lifetime.   The 3 cliff jumps 5,10,15m me and partner both did which was andrenaline packed but we loved it!   Also thanks to the amazing guides we jumped off the 15m and our…","The check in process was really quick and sweet (they give you a little cold tea on arrival which is a very nice touch). The hotel room was so cosy and clean, like a mini 5* hotel. I paid £10 for one night and it’s the best £10 I spent. They organize airport drops offs for 60K which were so good.  Special thanks to Putra, damma & Wisna","Travel woth two small kids (1y and 3y). Amazing place!  Great a la carte breakfast (pictures on attachment)! Clean and quite. Only thing, there’s not so many places to go outside the hotel.  Beach not good, dirty. ","Very nice resort that is suitable for both couples and families. As all resorts it’s not very personal though, and do not eat at the restaurants. Breakfast was good and a lot to choose from. Great gym and yoga! Pool area was awesome and the staff in the pool bar as well. Rest of the service was meh. Would not go again but that is based on the fact that it is a resort. Great for everyone who likes lying by the pool. Awesome area in Uluwatu, close to take a Grab or Gojek to all good restaurants. Uluwatu is NOT good for sunbathing. "
"I had heard of a lot of harassment faced by tourists by the locals of this area. However, things are not the same anymore. The ticket price now includes a guide and therefore, no one harassed us for money.   The guide was a good person who took us around the temple, however, he…","Wonderful place to spend some time with a little monkeys! Just be carful and do not feet them. Since ITs not all of them are small and cute , some of them might be big and aggressive! especially If if you are hiding the food!   Temple is very big and it will take some time to…", Stayed in Kuta for 4 days at the beginning and 4 at the end of our holiday and found the beach to be clean. Lovely spot for people watching.  Lots of choices for eateries and for drinks. The boardwalk that winds for miles along the water front makes for a fantastic ramble. ,Fabulous place and the veiws were just amazing despite the fact that we got caught in seasonal rain.,We used a motorbike to travel from Medewi to the Falls. It took about 2 hours and was as much fun as the jumping and sliding. The mountain roads are narrow and steep but generally safe. You just need to be careful.   The Falls are beautiful and the diving platforms are well…,"Hotel Staff are very nice service with a smile, most specially to Front Desk : Septi, Ari,Grace,Arta,Wisnu, Tina, Martin  and Amazing breakfast special mention to Anggun, Suparma (the best chef), Nice place for stay... really enjoyed my stay....overall i would highly recommend this hotel <U+0001F60A><U+0001F970>  ","Staff are incredible, rooms superb and thoroughly cleaned every day by Yogi and Harts, great guys who went that extra mile. The complex manager was really friendly and made time to make sure we where ok every time we met him. Food was good, restaurant by the pool or in your room , nothing was too much trouble. Yoga facility amazing and we had free reign as with the gym. Massage within the complex fantastic, although cheaper else where I would advise using the hotel facilities which are wonderful. Definitely return again. Lovely people who care about their guests",First stay at the Radisson Blu in Uluwatu. Awesome hotel overall. The two restaurants are great and the buffet breakfast change every day which is good if you are staying a week or more.  The pool area is amazing and the staff are all fantastic. Would surely stay there again if I am in Bali. 
It's difficult to predict the weather however it would be a huge bonus if you go when the sky is blue and no clouds. That would help to see the Mt Agung which would make the trip even more special.,"No stay in Ubud would be complete without a trip to its famous Monkey Forest, the name alone sparks the imagination. Its goal of preserving a forested area peppered with traditional buildings and temples all for the purposes of protecting hundreds of families of monkeys is a…","As a result of tourism, the beach is a rubbish tip each morning. Getting worse every year and have decided not the frequent Kuta anymore because of this. Better places to holiday that care for their environment more.","We did this as part of our Honeymoon and we couldn't end up with a better guide.   We had a great experience on our hike with the fantastic guide KARMA! He's careful, safe and will to please. A fantastic guy who's always on the lookout for your safety!  The only negative…",I read lots of conflicting info about this place so I thought I’d let you know the drill.  It is about 15 minutes drive out of Lovina up in to the hills. When you arrive there is a small carpark and a reception area. To enter the waterfall area unaccompanied it is RP20k (AUD$2)…,This place is customer orientated and it makes a huge difference. The staff are friendly and hard working. Breakfast is amazing. Rooms are clean and functional. Grandma's makes for a comfortable stay in Kuta. ,"Absolutely superb hotel! It looks and feels amazing but the staff here make it truly special! From the first greeting when you arrive to every single encounter after they have all been so friendly and attentive.  We had two very minor issues (small leak in shower and mix up with hiring bicycles) and the staff went above and beyond what would be considered necessary to rectify these. The emphasis on customer satisfaction is outstanding!  We enjoyed a couple's Tropical Fruit treatment from the spa and this was fantastic. It lasted 2hours and was tailored to our personal preferences. Again, the staff were brilliant and we would both highly recommend this.  A special thank you to Arnawa who was a brilliant member of the team, very friendly and helpful.","This is a fabulous property with nice big rooms and lots of storage space. We were slightly disappointed with the selection of items in the buffet breakfast and the bread toaster was always burning the toast because the bread was jammed in it. However, these are minor points and the whole package on offer is very good and excellent value for money."
"From the moment you arrive everyone is very pushy and asking for money, you will be asked to tip on top of your ticket price (which you don't have to do). We actually had money stolen from a zipped bag before we entered the temple. The temple itself is very old but there are…",Great day out. However do make sure you have no loose items the monkeys do steal things. Just common sense needed ,"Kuta beach is OK, not the type of beach for me, worth a walk if staying in Kuta, after walking along the beach I just found it a dirty with litter, not the beaches fault obviously, people need to respect the beach and take there rubbish with them, however it would help if there…","A must-do when you're in Bali! We came during March 2020 so there weren't very many people (we were told only 150-200 people compared to the usual 1k+). The hike itself is a bit difficult and slippery due to the small pebbles, but get a good guide and you'll be okay. It's…","The best waterfall i have been to i Bali. Super Nice/fun place to go. You kan watch the great waterfall. Cliff jumping in the river from 5, 10 and 15 m. They also have 2 natural water slides. One perfect for kids and a big one for everyone ","All staff Will welcome you at the best on first day you arrive and room is very nice on a budget rate!   Thank to  The warm front office Septi, Grace!  The super friendly security team Ridwan and Sudana the living guide of Bali night Club <U+0001F603> !","the hotel exceeded all my expectations. The service is wonderful! Iluh, Nuri, Ceri and Widdas was the best to make everything perfect for us! You feel spoiled!! The room is spacious and beautiful. You have all you need. The pool area and the restaurant are amazing!  I’ll definitely back! ","This is a first class hotel in every respect. The staff are exceptional, without exception. Attentive, polite, with excellent English. Rooms are large and the beds are extremely comfortable. Pool is fabulous. Special mention for Widi, Adit and Desy at the Filini Italian restaurant.   Visited Some of the local beaches and they were extremely disappointing. Difficult to get to, often dangerous steps and, when you get there, very few facilities."
Beautiful buildings on this temple complex even with the cloudy weather we've had. A must do of Bali <U+2665><U+FE0F>,"Monkeys will bite you even if you are not interacting with them. I was walking the path and one ran up behind my leg and bit me, breaking the skin. (I did not have any food or anything on me).  The front desk did not have much to clean the wound; however, a nice girl gave me…","It’s the tourist Mecca of Bali, especially for young backpackers and people who want to party to the extremes. ","We didn't expect the temperature to be a low 14c and the area somewhat obscured by a haze. It was still clear enough to enjoy  and appreciate the spectacular scenery from various vantage points known to our driver. It is still an active volcano, no tremors felt or rumbles on the…","I’ve been to several waterfalls in Asia and i can say that this one is the one that i enjoyed most. You can swim and jump from heights in the place. There are 4 waterfalls close to each other, i managed to jump in 2 of them but the others were higher so couldn’t make it:) It is…","It's a decent, lovely and great 3 stars hotel in Legian. Strategic locations, nice staff and great bedroom. At first i should've only stay here for one night but then i extend my stay until 4 more nights! How comfortable i am? My room view is straight to the Legian street.  Despite some technical issue, Mr. Yoga really help us to solve our problems and gave us the best hospitality we could have.   Breakfast was so so. Nothing special but there's just something here that makes me want to stay for more! Hope to get back soon.","This hotel is amazing. The staff is very welcoming and helpful. The pool is beautifull, the breakfast and the restaurant very nice. We really enjoyed staying with you.   We were at Amnaya the first day of our holiday and came back for two more nights.   Thank you so much. Special thanks to Ceri, Arnawa and Julius for helping us.   Meike and Sara.","We started our Bali trip with a week in Uluwatu at the Radisson Blu, and were really pleased with our stay! I'd definitely recommend this hotel for a relaxing vacation.  Positives: - Large, modern rooms and beautiful spacious bathrooms! I loved the big bathtub! - Good selection at breakfast (eggs, Asian dishes, fruit, yogurt, cereal, meat, bread, sweets, and cheese--though adding some oatmeal would be nice!) - Large pool and lush territory with lots of flowers and greenery. You'll be able to hear frogs at night and maybe even see a monkey hanging in the trees on the edge of the property! - Great location close to some beautiful beaches and powerful surf. Also lots of great restaurants nearby! - Daily shuttle to Uluwatu temple for the fire dance - Complimentary drinks and snacks…"
If you like seeing temples you have to see this temple. Situated high up in the mountain and a view to kill for from the top. Mother of all temples <U+0001F600>,"So fun! The monkeys will only get irritated if you get too close to them, so just don't bother them and they won't bother you. You can still take photos with them, and just be careful if you have food in your bag on in your pockets. You don't really need a guide. It's easy…",Kuta Beach Bali is ok! Go a bit north And the Beach is Wider and better in Many Ways! As Well as the Waves!,"A hardish trek mainly due to time of the night and humidity and the speed of the guide who wanted to sprint up.  The views are stunning, the monkeys are hilarious and the hawkers and dirt bikers are annoying. There were a lot of people up there so it isn't a peaceful place…","Aling Aling is a holy waterfall, and swimming is not allowed in it. But next to only 3 or 4 minutes walk (names in the attached photos)there are small waterfalls where the jumping/diving and swimming is allowed and is very nice.","We stayed here the night we arrived, very late. It was a great place to sleep and settle in before going over to Nusa Lembongan early the next morning. It's nice, modern and clean - very cheap and a great place to stay.",5 star staff. Really. Beautiful materials and design. Rooms 5 star look-a- like. Food is amazing so is the fantastic spa. Swimming-pool an oasis and you’ll love views in room regarding the build of all furniture and balconies. ,"It is with a heavy heart that I leave this review as this place could be amazing if it wasn't for numerous hiccups...  The pool and architecture is amazing and staff in general were friendly but why this would never be a five start resort are: - The aircon is not efficient, after several call outs it is clear that the system does not go colder than 24 despite having a control in the room.  Also miscommunication between in that were promised a better room to compensate for this but that never realised. - No one to help with luggage with arriving - 20min to check-in - Soap no being replaced by house keeping when cleaning the room - Bacon and other hot food items being cold during breakfast It could seem that the above is pettiness but one would expect better of 5* and Radisson Blu."
