White_Charter,Tangkuban_Perahu,Dusun_Bambu,Saung_Angklung,Ciater,YELLO,Aryaduta,Trans
"We absolutely love Kawah Puteh [White Crater] Such a beautiful scenery,  cooler weather & the route leading to it were a sight to behold! Stunning! 5 <U+0001F31F>","Awesome view of the volcanic crater even if it was foggy at times and the air smells of sulfur, depending on wind direction. I especially enjoyed getting a good look of how the lava cooled post-eruption! Just be (mentally) prepared for relentless touts and guides pressuring you…","Very nice place for kids, you can feed animals, take a look around, even ride rides like mini train, or go horseback riding. But if you don't have kids, it is not worth it.",We loved our visit to Angklung Udjo - we visited with one of my good friends who's actually from Bandung. She knows the owner and could tell us a bit more about the background of Udjo.  Not only is this a great afternoon full of joy watching the show but also very charitable.…,We loved our visit to Angklung Udjo - we visited with one of my good friends who's actually from Bandung. She knows the owner and could tell us a bit more about the background of Udjo.  Not only is this a great afternoon full of joy watching the show but also very charitable.…,"The room was dusty, we clean the room by ourself but we can't handle it because too dirty.  Me and my wife sneezed so many times because of the room.expect more from this brand and gave it a try, but so dissapointed. And the xbox is broken. ","I would like to start by saying that the staff is friendly and helpful.  We have stayed in Aryaduta Medan, Aryaduta Jakarta and now Aryaduta Bandung.  All had reasonably good rooms yet all of the hotel’s infrastructures had much need for improvement.  If you stay in Aryaduta Bandung it is because you have a room for a lesser price than other 4 star hotels here.   Our first room on the 14th floor was decent. Large room, large bed, good sized bathroom with tub that was clean enough.  Because of low occupancy the management had us move, after 4 days, to the 5th floor. This is to save money as the covid 19 slowed tourism. What a downgrade this is. The first room smelled bad so we changed. That was easy as the staff is available and helpful. The new room is by far the worst room I’ve…","Stay at this hotel at November 20, room 1215 - 1217  1. No Towel at suite room 1215 2. No one welcoming you at front door, only security before front door who check for body temperature 3. Breakfast..WOW are you sure this is luxury hotel ?  Restaurant full no distancing very crowded, this covid-19 pandemic situation,  No staff that take care of guest need, only Mr Fa.. forgot his name he say that he is the restaurant manager that help us food is not 5 star quality, food choice is very limited and so so taste, this is not 5 star standard tips Book room without breakfast, is not worth it"
"When descending the steps from the parking place towards the crater, you gradually see the view appearing. Although I have seen many volcanoes in the last decade, this one is impressive again. The fumarole opposite of the walking steps gives you a feeling of glooming underground…",Beautiful place but don't ever bother of entertaining anyone here.  No guides and dont buy anything.  Guides can tell u wonderful stories but its actually a trap later.  U will be forced to purchase things at super high price and to pay tips.  They will treat u like VIP but…,Good place to bring your family to this spot. They have some playground and educational for your kids. My children really love when she played flyingfox.,"A must see musical show when you in Bandung.   Angklung is a traditional music instrument made by bamboo. The sound is surprisingly good. The owner started to promote Angklung since 1960. Now they trained kids from the village to play this instrument, dance and wayang kulit. …","A must see musical show when you in Bandung.   Angklung is a traditional music instrument made by bamboo. The sound is surprisingly good. The owner started to promote Angklung since 1960. Now they trained kids from the village to play this instrument, dance and wayang kulit. …","Very nice hotel, and location also, if you need to shopping, this hotel is upper the mall, and you can find food market also behind the mall, so no need to worry. the facility and cleanliness good, I will stay there again :)","a very good old hotel in the good location. we enjoy the swimming poll and the the park, however the parking slot is very minimum but a security will help you to find a parking slot. keep the good work !!","Dear Mr Farid, first and foremost kudos to your staff at the Club Lounge with great effort and extra hardworking ( Mr Syakar , Mr Ardi and another guy I forgot his name ). However this stay has been a such TERRIBLE stay since you placed me in a thin iced wall so called Club Premiere room . I was forced to call 3 times gradually to your officer in charge until the neighbour next to my room can calm themselves down. Thank you Trans Luxury for ruining my staycation , you guys succeeded to keep me up all night by giving me thin iced wall room ."
"Unique crater located at approximately 2400m, 2 hours drive from Bandung. Lovely and unique white lake crater where you can access the crater and have great photo shoot opportunities. For the handicap in wheel chair, you can access a path to a look out point where you can see…","This is the one 'attraction' I will recommend everyone to avoid.  1. The most expensive entry tickets in Bandung, and they still charge you for toilets that are not maintained.  2. You will be harassed by persistent sellers who tout you like flies, trying to sell souvenirs at…","Location is a bit far toward Lembang. The place itself if very good with beautiful landscaping. Food was average, but was compensated by the ambience.  Parking space needs improvement as it is very inconvenient when its raining.","This was a highlight for me in Indonesia. The children are so talented and it is a great, interactive show. I would not miss it!","This was a highlight for me in Indonesia. The children are so talented and it is a great, interactive show. I would not miss it!","Best location to have a family staycation, because it's beside paskal mall, so it's easy if you want to find some food during the stay.. clean room and facilities.. Nice and helpful staff.. surely we will stay again here someday.. thanks..","It was a good experience and I recommend this accommodation, staff are friendly willing to help and  place cleaned and neat high security connected to the mall for shopping enjoyable fancy lobby with the classical music at evening ","The hotel has very elegant interior, match with the name luxury :) It has nice swimming pool, very suitable for children, next to the big shopping mall,  Trans Studio Mall, complete with branded boutique, restaurants and food court, also with children's playground. So if you want to take your children on vacation, this hotel is very recommended. And the breakfast has various menu, eastern and western, and they all delicious."
"I went here with my parents and 2 of my friends from Lebanon and China to impress them how outstanding the crater is until some things upset us. We came with a car, got stopped at the lockets pay for the car 150k IDR + each person (local 25k IDR, foreigner 75k IDR) we complained…","Visited in December 2109 with wife and young kids. Site was reopened after 3 months of closure. Entry for foreigners was 200,000 rupiah per head for ages above 5.   Touts would stick to us like leeches. They claim to be from some kind of tourism organization. They followed us…",A place not recommended to come again unless you really feel like wasting cash and time.  Lack of public facilities like toilet.  In fact you can hardly find one.  Crowded and restaurant unable to sustain the visitor.,A lot of tourist wouldn't miss to come here and watch the traditional Sundanese musical performance. Participation of children's performance was excellent and they performed well in accordance with the rhythm. We were given Saung Angklung to try the music and basically it was…,A lot of tourist wouldn't miss to come here and watch the traditional Sundanese musical performance. Participation of children's performance was excellent and they performed well in accordance with the rhythm. We were given Saung Angklung to try the music and basically it was…,This place is such a good value for money and services. My partner and i decided to use the room service for most of our dinner during the stay because of its excellent food quality and affordable price! We had a great view of the mountain from our room as well which was really great. We would definitely come back to this hotel in the future if we visit bandung again!,"Great location and have direct access to the mall. Spacious and clean room. Good sport facilities, gym, swimming pool, spa, sauna. Breakfast have a huge selection and all the food its delicious.    Close to various food street Overall i enjoy stay in this hotel",- The Hotel is very luxurious <U+0001F60D><U+0001F929>  - Breakfast very complete and very tasty <U+0001F60D><U+0001F929>  - Complete Facilities <U+0001F60D><U+0001F929>  - Very strategic location <U+0001F60D><U+0001F929>  - Very satisfying service <U+000
This crater with lake and some other trees are not quite worthwhile and impressive compared to other craters in Indonesia like Bromo and the nearby Tangkuban Perahu.  It has a small lake with turquoise water and some other trees and sulphur smoke with smell. However to get there…,Few craters and hot spring. Even if you are traveling with a car please plan to walk and to roam around at least 4-5 hours.,This place located out of the Bandung city but it's worth of visit. Surrounding by green nature site and it has rabbit garden. Recommended for family trip,Worth spending the afternoon at this place to learn about this musical instrument and enjoy the excellent show. The host (the grandson of the founder) was very good. Recommended 100%,Worth spending the afternoon at this place to learn about this musical instrument and enjoy the excellent show. The host (the grandson of the founder) was very good. Recommended 100%,Everything is nice ....  i love it. Apalagi pelayanannya sangat memuaskan. Room so clean .... wifi so fast ....  yg kurang pas check in. Bisa masuk room jam 3 sore ... ya mungkin karena high season and i can understood.... overall is good,"Nice, cool, clean, friendly staff, delicious food. Cozy place, recommended. Fast response. Surrounded by culinary and mall. Easy to find out some food or drink outside hotel. Complete facilty @hotel (gyms, spa, swimming pool, restaurant. ","This is the best hotel ive ever stayed. Nice food, great pool for my kids to play, close to trans studio bandung. Keep up the good work. We hope we can stay again in the meantime. Wish u the best, trans luxury !!"
"An okay site for adult, probably a good place for children or teenager (primary/junior high) to go on a study tour, if their teachers could explain what's inside or what happened in this site. A natural hot bed of sulfuric lake and mud/swamp made by volcanic eruption from ages…",There are 3 craters we visited domas first it cost an extra 300k after the 200k pax entry. They say it's 1.2 kilometer walk. 900 flat then 300 hilly. The 300 meter part is at least 600meters. You get a guide fur the 300k who gives you little info and plenty of sob stories. When…,"Cooling weather at Lembang. The kids enjoyed themselves at the playground. Most activities require additional cost after paying the entrance tickets. The lunch at the food court was good. Most of them do not speak English, better to have someone who can translate to Bahasa.",I brought my friends and her family (with young children) here during weekend. The travel to Saung Angklung Udjo was bad because of the long traffic jam. My friend and her children had fun on making angklung and learn how to play this musical instrument.If you want to see and…,I brought my friends and her family (with young children) here during weekend. The travel to Saung Angklung Udjo was bad because of the long traffic jam. My friend and her children had fun on making angklung and learn how to play this musical instrument.If you want to see and…,"Everything was excellent. From the cleanliness of the room, great service, location very good, and the price was affordable. I had a great stay here and would like to revisit this hotel again in the future.","One of the fancy old hotel from 90s, love the ambience and open air area from the lobby straight to 15th floor. The location very close to factory outlets, supermarket and restaurants in Jl. Riau. Also, the hotel is in the same building with Mal. They have tennis court, gym, swimming pool, sauna and hot whirl pool inside sauna room.","I went to that hotel a year ago and thought it was a really cool place to be. The room was large, beautiful and the bathroom was extraordinary. The breakfast was great because they provide all sorts of food - continentan, local and whatever you want. My daughter had a good time playing in the swimming-pool and the mall nearby have lots of cheap and delicious restaurants. I definitely recomment this place."
"We can go up with small van @idr25k/person or bring ur own car and pay idr150k for parking plus idr25k/person , it's include the mask. Dont forget to bring umbrella and rain coat because it rainy up there.","Crater of mt Tangkuban Parahu is very beautiful, amazing, great view and authentic panoramic. Sulfur is odorless by the time we visit on July 2019, than it usual. You better visit in the morning, before fog is come by and block out the crater and the top of mt. HIstory of mt…","This park is complete package for short vacation with fresh air, it provides place to stay, leisure park, food place, children playground and lots of photo spot. This park equipped with artificial river, rabbit feeding, children sliding and also support by shuttle from parking…","A really fun activity in Bandung. The performance is very entertaining,showcasing Shadow puppets, Dances from different regions of Indonesia, and of course the Ankjung music. The students are very talented, and Udjo's son will also coach the crowd to play the Ankjung together.…","A really fun activity in Bandung. The performance is very entertaining,showcasing Shadow puppets, Dances from different regions of Indonesia, and of course the Ankjung music. The students are very talented, and Udjo's son will also coach the crowd to play the Ankjung together.…","Hospitality is great, clean and tidy room, the room, aisle, lobby smells good, gaming zone was so helpful to stay in hotel while rain all day, the connection was also great. gonna stay at yello again soon.","I love the room. Its comfy, clean, and big. Strategic location, it connected with Bandung Indah Plaza. Nice staff..they give me a room in the top floor with a beautiful view (room 1504). Many option menu for breakfast. Unfortunately, the swimming pool isn't with warm water so you can't swim in the night. Will be back to Aryaduta if i go to Bandung again.",for the room...I must say it was so nice and cozy...love the breakfast and please don't forget to come and get nice coffee in th 18th restaurant...enjoy the evening Bandung's nite view while we have nice dinner
Took us 2.5 hours to reach the crater. We arrived at about 10 am. No sulphur smell though and just a little vapour. You are only allowed here 15 minutes for health reasons. Spent a while walking round it. Just be careful you don't go beyond the allowed boundaries or your shoes…,"Visited Tangkuban Perahu during my company retreat. The view was amazing and it is worth the time to go take a look if you are in Bandung.   However, beware of touts, there were many of them. As we were quite a big group, some of them followed us throughout and one even offered…","Its a nice and beautiful place with beautiful landscape. Several restaurant to try out. Chalet on the lake make it a unique place. Its a huge place to walk around, to up the hill, to take photos. Got game park, traditional house from bamboos with musical instrument from bamboos.…","Because i bring my guest who like music, so i guided them 2 weeks ago to Saung Angklung Udjo. They were excited to see the show of angklung and also they can learn how to play angklung. Its easy to play.. And proofing everybody can play angklung.. ","Because i bring my guest who like music, so i guided them 2 weeks ago to Saung Angklung Udjo. They were excited to see the show of angklung and also they can learn how to play angklung. Its easy to play.. And proofing everybody can play angklung.. ","The staff is friendly and helpful and the oom hotel is good, but need improvement for payment on website yello (tauzia). I am very comfort with ambience (room, check in place, lobby). I love the arts at every side place.","Hotel is in the heart of the city. Helpful and friendly staff, yummy breakfast, huge bedroom, great facilities, comfy bed, easy access to everywhere. Overall, had great time staying at Aryaduta Bandung. ","Nice hotel, they prepare a nice little surprised if you are celebrating your spesial day .here. Kamar luas, style klasik tapi modern. Staff ramah. Kolam renang bagus dan bersih tapi memang sedikit berangin."
Entry fees: (1) Foreigner ('Bule') pays 3 times the local's fee. (2) car entry fee (higher than the local and 'Bule' fee. This is dandy. But the road from the gate up to the lake is atrocious.  I visited this place for the photographic potential of the lake. I visited in…,"The amount of touts here really ruins the experience. If you want to enjoy the area, don’t bring your wallets or bags out with you so that you can say you have no money when you’re harassed by the touts. ","Come with status Not a staff anymore And really as a guest, I feel something different Because now it's more critical to see something that happens from the visitor's side, The place is still awake its beauty but it's just unfortunate that the flowers that are the pride are gone…",Loved the performances there. A good introduction to the different cultures in Indonesia. The host spoke both Bahasa and English. The kids performing were really cute and the dancers were talented. The end segment was really fun cause we got to learn and play the angklung with…,Loved the performances there. A good introduction to the different cultures in Indonesia. The host spoke both Bahasa and English. The kids performing were really cute and the dancers were talented. The end segment was really fun cause we got to learn and play the angklung with…,"Overall is good, at the time of check in, stay there and check out is easy and also the service of each staff is good, but further enhanced for its hospitality , so thar visitors provide good feedback and can give a good impression also for the hotel and can be a better hotel if everyone is interested in all the facilities and comfort of each guest","I stay for 3 nights in Business Room.  The room is very spacious and nice. The bed is good specially I like their pillows. Bathroom equiped with bathtub. Breakfast also nice, many choice of food. Minus thing is in parking area. Parking area is limited specially when there is an event in hotel.  I recommend this hotel for stay in Bandung,",My whole family recently stayed at this hotel and we enjoyed our stay there. The rooms were lovely and housekeeping was excellent throughout our stay there. My parents tried out their celebrity suite and were very impressed with the suite. The staff there were very accommodating and always greet us with a smile. Do try out their spa. My wife and mum kept on saying how much they enjoyed their treatment there.  We will be back to stay here again for sure!
"On the road of discovery .. what seems like mere natural vegetation to some, but to both of us, makes for an interesting discussion ..   Pretty white field of tiny flowers hugs the greenery tt guides us all the way on the ascend to the crater .. KAWAH PUTIH  .. the volcanic soil…","It was great to visit  Tangkuban Perahu. there were a few things that we disappointed and hope it will change it one day  Firstly , the entrance price was different between a  local and foreigner - the point was but it was not make any extra services in term of paying more but…","This place provides various park with different theme. They also provide rabbit to pet and hold. Could be nice place for kids. They provides restaurant too, could be good place to take good picture. However, I went to this place around 3 years ago. Heard from my friend that they…",They provide interactive entertainment. You will get to make sound with your angklung too. The heir will know which tone you play. I got to dance with them in the last dance. It was so fun even though I went alone. Souvenir shops have interesting stuffs related to the related…,They provide interactive entertainment. You will get to make sound with your angklung too. The heir will know which tone you play. I got to dance with them in the last dance. It was so fun even though I went alone. Souvenir shops have interesting stuffs related to the related…,"the location was really good for me, the room is fine, the bathroom is a bit too small. i left the room for a dinner out and i remember i've turn off the room's lamp, but when i get back to the room later, the lamp was on. i dunno, is it supposed to be like that or?","The room is so big, clean and neat. Love so much the swan towels decoration on my bed.. just like honeymoon room <U+0001F60D> my kids also happy.. I have 4 daughter.. 15, 12, 10 and 3 yo.. and all are happy. They stay at different room without connecting door but still feel safe.. I bring my  parents and they stay at different floor because my father is smoking, but the front office give me flexible key card so I can access the lift to visit my parents even at different floor.. hotel position is near mall so easy to find anything we need.. they also have a nice garden to relax in the city centre.. overall is perfect.. ",the name of the hotel describes its facilities.. the room is comfortable.. my baby too he strolling around the room happily.. the breakfast is good and the pool also good.. all the staff are friendly..
