Rotterdam,Losari,Taka,Bantimurung,Tanjung,MaxOne,Harper,The
"Fort Rotterdam is definitely one of the oldest and most intact forts in Indonesia. As such, it is certainly Makassar is premier historical site and we would recommend a visit here. The stone walls, Bone Bastion and Dutch-style buildings within the fort are all attractive and?","Many changes after 5 years, the place is amazing and beautiful for walking around, exercise in the morning sitting around and enjoy the views, very nice place for relax,","Our holiday in Taka Bonerate Marine National Park really one of the best experience for our family. We came for baby sharks and the atoll. And pak Agus our guide show us giant Kima, replanting coral area, and soft coral habitat.  Put on your sun glasses and sunblock, then enjoy the sun. Bring your personal medications just in case you stumble to naughty jellyfish, bring enough money to buy some fresh lobster. The nearest village is Rajuni island (and its do not have jetty).  Do not touch bright coral, some of it will burn your skin. And be careful when you feed baby shark, they are baby with sharp teeth <U+0001F605>. And sometimes there are baby stingray near the beach, watch your step.  We absolutely will come again.?","Bantimurung itself is a sample of over exploited nature attraction. Too much human interferes on the nature. Too many concrete constructions, paving blocks, etc. ","This is my 3rd time to go to this beach because this beach is simply so beautiful, you can find the clean white sands, blue sea water and and nice sky landscape, if you are go with tight budget, there is so many cheap hotels and inn around the entry","With the friendly price, we got the excelent service, welcoming drink, complete facility, good for family holiday, modern green concept, delicious food taste, feel secure, fast check in process and helpfull","Staying atvHarper was really good experience for me. Before my check in date, they sent me a reminder and provided me with advance information about my booking. The staff were very friendly and accomodating. The room and ammenities were all good. Breakfast buffet was excellent too!","The first time staying at the rinra hotel with friends, the service at the hotel was very friendly, the hotel was clean and the most interesting thing from the rinra hotel was the view while being in the pool was very cool anyway <U+0001F970>"
"It is a very old place with some traditional cottages. We liked the museum most because of some ancient things like tools for agriculture purpose, traditional dress and miniature of wooden house , picture of kings, very old weapons used many many years back etc.But I do not?",I guess this place is good at night. Our hotel had great sunset views and views of the sea and mosque so we went here during the day..there is nothing there. Just a few statues and stuff. ,"It is relatively easy to reach Taka Bonerate, comparing to other secluded/virgin beach or island in Indonesia. The snorkelling and diving site is still good.   The baby black tip shark is a delightful scenery in the morning. We got the front bungalow, meaning we could see the sunset while lounging at our terrace.?","Bantimurung National Park is located in Maros it?s about 2 hours from Makassar. You can enjoying the fresh air in here, exploring the cave, swimming in the waterfall and exploring the various type of butterflies and insects!   Also do not forget to buy souvenirs from locals.?",Bira have a very nice beach with white sand and sunshine.  You can see spectacular sunrise and sunset.  An excellent place to spent your holidays here.,"Very bad and rude that we got  from Mr. Dito as a reception. There is no smile and ""thank you"" words as a reception must be. How come? Please retrained your receptions staff to treat guest better. Thank you","Staying in this hotel was a great experience, it quickly became my favourite stay for a short business stop in Makassar. Close to the airport, and not too far from city centre. The breakfast was generous and delicious. The room was clean and neat, and  I appreciate its environmentally friendly approach: no plastic bottle! ",I had a very nice room overlooking the city! Very nice infinite swimming pool! Good breakfast! Very good staff. I came twice in the same week and I really did enjoy the place. I ll recommend as the right place in Makassar.
Interesting museum of Sulawesi history. Maintained very well. Informative with detailed write-up. Fairly large with multiple rooms. Cover the history from the Stone age up to the Dutch era,"One of the busiest sightseeing location in Makassar.  Known by the locals a place to visit to see the sunset.  If you want to avoid the crowds come during day time.  It comes alive at night.  There are tons of restaurants, food stalls, and shops in the area.  You can spend 2-3?","We had a very long travel time to get here, it was a night of bus trip along with two hours of ferry boat trip and then a night of boat trip... well yess... imagine by your self. I spent two nights in this islands, took four logs of diving and stayed in Rajuni Village... All I can say is you will be pleased with the underwater experience, it is the third biggest atoll in the world. Underwater visibility was clear... corals were amazing... met lots of exotic sea creatures. Well yess... all those time spent to get into this place was well paid. I suggest to take a plane to first get into Selayar and then get into Takabonerate by boat (I guess no better choice for this). ?","Went to Batimurrung to see the waterfall today, but after seeing the crowded parking lot with dozens of tacky souvenir shops and knowing foreigners are gouged for a US$ 20 admission fee, we just turned around and left. I am sure it once was a nice natural attraction, but from?","We visited this beach on holiday. It was very crowded. This beach is the main destination for holiday or weekend in South Sulawesi. From Makassar took about 5 hours by car. At the beach there were some stalls which sale food and drink, souvenirs and we can take a rest there.?","Parking area is bid enough to do jogging in the morning.Room is clean and the space is adequateVariety of food for breakfast shoul be improved. To call taxi or grab sometimes take a long time, due the trafic at Sumiharjo street.","Great location especially for those who has business n activities near airport, business district, university n so on. A bit distance from the city but highway will shortcut the distance. Great menu if breakfast. Highly recommended","Very good hotel,nice to stay in here i like it so much , the best view ever day, and tradisional food very intresting like it so bad. And very humble all of staff in here  the best hotel in makassar like it"
It?s near our hotel. However we took a trip with becak tricycle for Rp 200.000 from the hotel to the harbour and the fort in the end. I forgot if there was a ticket but the staff in the hut asked for a donation. I was afraid it was ended in the pocket.  We walked through the?,"When I visit this place is in the middle of the day and its crowded. The view was good. We can see beach, phinisi boat, and mosque with unique design. People say: you?re not officially come to Makassar if not visited Losari Beach.","I did snorkling at Taka Bonerate, it was very beautiful. We have been handled by the ranger of Taka Bonerate, They persuade us to try a discovery dive. I am not pro in swimming, i still wear my life jacket while snorkling, so how could i dive? I said it to one of the rangers, but they were very helpful. They explained to us so patiently, informed us that we can see more beautiful views down there. Then me and my friend did it and it was for free.  Coral & fish are very various, i also saw a giant shell, local people call it with ""KIMA"". It take years to grow, i heard they only grow 2 centimeter in a year. So, I think this kima is very old, maybe hundreds year? I only bring a standard camera for underwater, But the truth is the underwater view is very amazing. Then the dive site is famous for the nudy branch, sometimes divers will choose to experience a night dive in Taka Bonerate.  I stayed at Tinabo Island. I admit it that the facilities are less enough for the tourist. You should take bath with salt water. If you are a backpacker, you will not be disturbed with this kind of situation. The electricity will be shut down at 12PM. I suggest you to sleep outside in hammock because our room ""nudy branch"" is very small, and the air circulation was not good enough. When i arrived there, a new facility was added, such as air condition but only in a large bungalow, and the electricity will be shut down at midnight. So, pointless i think.   Food not very various, mainly you will eat fish everyday. If your are from outside Indonesia, you need to beware of the chili. This is a special chili from Selayar Island, chili is very small but it will burnt your tounge. I bought this chili for my mom in Jakarta after we arrived at Selayar. Yes, most of Indonesian reallyyyyyyy loves chili.   Then, i also went to ""Tarupa Kecil Island"" to meet a local tribe, Bajo. These tribe is very famous, they live nomadically. They only stay at this island maybe 2-3 months then move to other island. When we arrived at Tarupa Kecil Island, our guide climbed the coconut tree and we enjoy the coconut fruit to relieve our thirst. We pay nothing for the coconut but our guide pay it to the local people.   Then i also visit sandbanks, called ""BUNGIN TINABO"". We could see a lot of seagulls in here but when we landed in these area, the seagulls flew away. We took some pictures and others only laid down on the beach.   Tips:  Be friendly to local people, they will be very happy to explain everything they know about Taka Bonerate. Actually, they only wants you to decide that Taka Bonerate is a good place to visit and maybe one day you will come back to Taka Bonerate for sure. I made a new friend there.  No internet connection, you need to change your network to 2G network. Only works for phone call in very limited time, we can not predict when the signal is strong/weak.?","I went there with my best friend and we found easily to get there simply by local angkot; but unfortunately it wasn?t me who arranged the transportation, it was her, so I don?t think I can share the details of the route how to get there from Makassar; one thing I recall is it?","Its okay, when we visit its during weekday so its quite empty. The area needs massive development, specially for hotels and food places.",the hotel room is very contemporary with lobby hotel decor that is beautiful to look at. Serves a nice breakfast and has a swimming pool that is comfortable for children. Has a large outdoor area and can be used for various events. Service is a bit long when leaving the hotel.,"The hotel is ten minutes from the airport and the zoned rate from the airport is less than Grab and far less than the hotel will charge you.  Despite the proximity to the airport there is no noise.  Rooms are spacious, clean and modern.  Front desk staff and manager on the late night shift were very helpful in getting Garuda to deliver a lost bag in time for the next leg of my journey.","We are stayed at this hotel from 18.feb until 23.feb. We are from Germany, My friend Mr. Christian is Germany and i am Indonesien but live in Germany.  From the first time we arrived, we didn?t get a great welcome greeting from the Receptions staff. They are even didn?t offer us a welcome drink even the welcome drinks is right to the next of the front desk and we have to do self service. The room was ok, but they are haven?t a enough wardrobes to put our clothes.  Then the next day, we are going to breakfast. All the food is cold except the soup. Coffee was horrible and we are asked for a fresh coffee and luckily they?re want to give us a fresh coffee from the coffee machine. The staff (restaurant and the receptionist) mostly not friendly, doesn?t greeting us everytime we?"
"It was an interesting visit, mostly because its the only VOC fort still standing (or so we were told). There is a small museum that tells you a bit of the history. Another building that we wanted to visit, was closed. All in all, we stayed there for about half an hour.","Visited in the morning hours,  when the crowds were not present. Once there , one can see the most photographed sites of Makassar,  especially the lettering (City of Makassar, Losari etc).Tons of Kodak moments.  Just be aware that it can get very hot during the afternoon hours,?","We went to Taka Bonerate by plane from Makassar, South Sulawesi and stayed at the Tinobo island resort.  It was gorgeous!  Everyday, 24/7 we swam with 100s baby sharks mostly black and white tips.   The island is a small island which can be circled in 1 hour walk.  The resorts has several air conditioned (AC) rooms and can accommodate about 10-20 people.  It has camping facilities which accommodates more than 20 people.  The island does not have fresh water facilities other than rainwater storage and carted drinking water from neighboring islands.  Everything, including foodstuffs have to be brought in by boat.  Electricity runs from 6am till 00:00.  There is daily regular public boat that connects it to the surrounding islands and mainland Selayar.  At night, the milky-way is crystal clear and it is gorgeous!  We did snorkling and diving and were disappointed by the level of destruction to the (once) beautiful coral reefs and gardens.  There were visible signs of coral destroyed through fish bombings!    During out stay, we met with Indonesia sea police patrol officers who have just apprehended fish bombers and loads of explosives.  They also confiscated a boat.  Taka Bonerate is in dire need of help!  The fish bombing has to be stopped and for this the people of Selayar and Indonesian Government need help!    Please go and visit the Atol and voice your concerns on what you see.  Snorkling and diving in the mainland Selayar is gorgeous!  This is a separate review.?","Bantimurung has so many amazing places to visit. If you want to enjoy the olden times era, just come here and feel the historic moment. Leang Leang is one of Bantimurung squad. This place is very appropriate to with your friends, family, and youe couple too. The green view is?","It is worth if your final destination is snorkeling or island hopping to Pulau Kambing and Pulau Liukang Loe. If you are taking long hours ride from Makassar just to spend time on this beach, I would not recommend because you have to pay entrance fee (per pax and per car), yet it?","hotel maxone sangat cocok untuk anda yang ingin menginap di hotel dengan suasana yang asri dan alami, membuat anda berasa menginap di rumah sendiri. Anda yang menginap di hotel maxone juga sangat di manjakan dengan berbagai macam fasilitas yang terbilang lengkap.Maxone hotel is perfect for those of you who want to stay in a hotel with a beautiful and natural atmosphere, making you feel like staying at home. You who stay at Maxone Hotels are also very spoiled with a variety of facilities that are fairly complete.",This is a great hotel. Clean. Friendly. Large rooms. Nice pool. Great breakfast. This was the best hotel we stayed in at Makassar. Highly recommended  Friendly and helpful staff Definitely a great hotel ,I invite my girlfriend to enjoy dinner at the rinra hotel. We had dinner at lontar dining and got a view of the swimming pool and Beautiful decor provided for us. Exceptional service and fast in moving males US more statisfied
"You need a proper guide to actually understand this fort (museum) or otherwise, just spend some 1 hour reading and exploring the history of Makassar, the gowa kingdom and lagaligo kingdom.  Upon entry, there is voluntary payment (which i thought was official) and u do not actually?","I love Makassar. I think it is for the traveller and not the tourist but I am old and I do not like Kuta in Bali that much. There are some very good hotels in Makassar. Do not miss Paotere Harbour. Maybe watch the sun go down at Panti Gapura. Walk along JL Somba Opu northbound,?","Our holiday in Taka Bonerate Marine National Park really one of the best experience for our family. We came for baby sharks and the atoll. And pak Agus our guide show us giant Kima, replanting coral area, and soft coral habitat.  Put on your sun glasses and sunblock, then enjoy the sun. Bring your personal medications just in case you stumble to naughty jellyfish, bring enough money to buy some fresh lobster. The nearest village is Rajuni island (and its do not have jetty).  Do not touch bright coral, some of it will burn your skin. And be careful when you feed baby shark, they are baby with sharp teeth <U+0001F605>. And sometimes there are baby stingray near the beach, watch your step.  We absolutely will come again.?","I visited this place on holiday and the visitor was very crowded. The location about an hour from Makassar near the Rammang-rammang Village.  There was waterfall, river and butterfly conservation as the main attraction here. But I found a view only butterfly that time. Not?","Most people come to Bulukumba because of Bira Cape. I came with friends when no body around (weekday). It was quiet and I could hear sea wave, it made me sleepy. I was sleeping for 40mins on small shop around the beach haha  Even the most cheap food will taste like michelin?","this hotel has a nice view, clean and friendly staff. but it was just that their room service was very slow. I had to call the receptionist for many times for some service. and for those of you who bring the vehicle I suggest to report so that parking fees are not charged.",Clean rooms with confortable beds. Ok gym for some exercises and a pool to relax in. Some more basic Spa offers. But service in the restaurant is extremely slow and do not expect a drink before dinner. ,i like the rinra makassar hotel because the service and cleanliness of the hotel and rooms are very well maintained. even here I see the friendliness of staff towards guests and not the same as other hotels that are not too familiar with guests and more to see guests here and there only passing and passing. at the rinra hotel always greeting and reprimanding and being a positive example
"This museum could be better maintained. It standa on a Dutch fort that used to be a Gowa kingdom fort. Some rooms we could not get in, some artifacts are scattered collecting dust. However, it has a good collection of different types of weapons/knives from South?","Not a beach in the sense of sand, waves, etc but more a concrete sea wall with a sidewalk and some signs/statues for people to take photos with.  That said, you can still enjoy somewhat of a breeze walking along the sidewalk and have some views of the sunset.  In the past few?","It is relatively easy to reach Taka Bonerate, comparing to other secluded/virgin beach or island in Indonesia. The snorkelling and diving site is still good.   The baby black tip shark is a delightful scenery in the morning. We got the front bungalow, meaning we could see the sunset while lounging at our terrace.?","Bantimurung is located in Maros regency, South Sulawesi. It is around 1 hour  from Makassar city by car. Bantimurung is a museum and conservation place for butterflies. There is so many people selling the corned-butterflies (covered by formalin) and make some keychains or put it?",Verry nice beach and sea. Good location and location for you love to snorkling and diving. The sea is very clean and blue. Although the location is very far from Makassar City (around 5-6 hours by car) but its worth it. ,"Playground : ok Swimming pool for kids : outdoor, no guard Room : clean Bathroom and shower : ok Service : ok Breakfast :ok, so many foods to choose (please eat your breakfast before 10 am <U+0001F601> ) Price : ok","I like the view. The place is strategies with sultan hasanuddin airport.  Clean room, place.. All is good.  I like this hotel. So recommended for you to have any party is here with your friends or your family",the rinra is a hotel that has a very cool view and makes the mind so fresher than the many workloads in the office and where we work. i often do family vacations at this hotel. good and friendly service
Fort Rotterdam is located near to the Port of Makassar. It is the only heritage site that you would see around he area as it is surrounded by modern shop houses. Entering the port is free but getting into 2 of its museums within would require you to pay a small entrance fee.  ?,I enjoyed my time here since I was kid until now the place is always been the favourite place for enjoying sunset and various culinary,"We had a very long travel time to get here, it was a night of bus trip along with two hours of ferry boat trip and then a night of boat trip... well yess... imagine by your self. I spent two nights in this islands, took four logs of diving and stayed in Rajuni Village... All I can say is you will be pleased with the underwater experience, it is the third biggest atoll in the world. Underwater visibility was clear... corals were amazing... met lots of exotic sea creatures. Well yess... all those time spent to get into this place was well paid. I suggest to take a plane to first get into Selayar and then get into Takabonerate by boat (I guess no better choice for this). ?","Bantimurung park have good location because not to far from Makassar city, around 1 hour by car. The location have a good view and also fresh air, because it is under the mountain. You can see lots beautiful butterfly.","Nice.white beach with beatiful graduation of color between deep sea, shallow shore and seaweed.   For some months of the year however a lot of rubbissh washed up ashore. Prefer to visit more cleaner Bara beach nearby.","These hotel is nice, and accompanied by many unique pictures. I am very comfortable while in this hotel. clean rooms, soft beds, and a clean pool, a good and nutritious breakfast, lots of good sights to shoot some pictures.","Clean, well maintained rooms. Excellent buffet breakfast with a large selection. Well trained staff. A water refilling station was very convenient and significantly helps the environment by eliminating plastic bottles. Thank you.","In early February I visited the RINRA hotel, which is said to have a great view of the swimming pool. It turns out the view is amazingly beautiful. The service is also good, especially the breakfast is all good. The RINRA the best for a vacation"
"This place used to be called BENTENG PANYNYUA. Because of the stupid Dutch colonial, it change into Fort Rotterdam. Bring back the history, bring back the culture.",Esplanade with beautiful view. Went there at night. Lots of stalls selling drinks. A place where family hang out and kids day put <U+0001F601> It show case 4 main ethnicity in Makassar. There is also one new mosque under construction. A must visit when you are in Makassar since there is a?,"I did snorkling at Taka Bonerate, it was very beautiful. We have been handled by the ranger of Taka Bonerate, They persuade us to try a discovery dive. I am not pro in swimming, i still wear my life jacket while snorkling, so how could i dive? I said it to one of the rangers, but they were very helpful. They explained to us so patiently, informed us that we can see more beautiful views down there. Then me and my friend did it and it was for free.  Coral & fish are very various, i also saw a giant shell, local people call it with ""KIMA"". It take years to grow, i heard they only grow 2 centimeter in a year. So, I think this kima is very old, maybe hundreds year? I only bring a standard camera for underwater, But the truth is the underwater view is very amazing. Then the dive site is famous for the nudy branch, sometimes divers will choose to experience a night dive in Taka Bonerate.  I stayed at Tinabo Island. I admit it that the facilities are less enough for the tourist. You should take bath with salt water. If you are a backpacker, you will not be disturbed with this kind of situation. The electricity will be shut down at 12PM. I suggest you to sleep outside in hammock because our room ""nudy branch"" is very small, and the air circulation was not good enough. When i arrived there, a new facility was added, such as air condition but only in a large bungalow, and the electricity will be shut down at midnight. So, pointless i think.   Food not very various, mainly you will eat fish everyday. If your are from outside Indonesia, you need to beware of the chili. This is a special chili from Selayar Island, chili is very small but it will burnt your tounge. I bought this chili for my mom in Jakarta after we arrived at Selayar. Yes, most of Indonesian reallyyyyyyy loves chili.   Then, i also went to ""Tarupa Kecil Island"" to meet a local tribe, Bajo. These tribe is very famous, they live nomadically. They only stay at this island maybe 2-3 months then move to other island. When we arrived at Tarupa Kecil Island, our guide climbed the coconut tree and we enjoy the coconut fruit to relieve our thirst. We pay nothing for the coconut but our guide pay it to the local people.   Then i also visit sandbanks, called ""BUNGIN TINABO"". We could see a lot of seagulls in here but when we landed in these area, the seagulls flew away. We took some pictures and others only laid down on the beach.   Tips:  Be friendly to local people, they will be very happy to explain everything they know about Taka Bonerate. Actually, they only wants you to decide that Taka Bonerate is a good place to visit and maybe one day you will come back to Taka Bonerate for sure. I made a new friend there.  No internet connection, you need to change your network to 2G network. Only works for phone call in very limited time, we can not predict when the signal is strong/weak.?","1. Tiket price 25 rb / 2,5 dollar 2. National park of butterfly or various kinds of insect 3. Waterfall at Bantimurung  4. Stone cave ...staklatit 5. Swimpool 6 . ",It is a long trip from Makassar.  Near to Bira harbour which you can go to Selayar. White sand and clear water. There are 2 islands you have to visit to do snorkeling. Kambing island and Liukang island. People say Kambing island is the best. ,"Stay at maxone hotel,swim and eat very much maket us want to stay back there,the friendlines of the staff and the comfort of rest makes us want to come back to stay there, thanks for everyting maxone hotel","For the 1st time we execute Training event in Harper. I am giving salute to Bung Sapri for assistance, fast response and good support. Well Done for Bung Sapri until we meet again for next opportunity!",i visited the rinra hotel for the umpteenth time and i never get bored to come back every time i visit makadsar city. my family and I like the best service at this hotel with a varied breakfast menu to the satisfying amenities. Check in was also not long and the room was clean. all employees are friendly and smile continues <U+0001F60A>
"Decent example of colonial architecture. Not a lot to see in the museum, but a few interesting displays. Very hot and minimal air conditioning were a bad combo for a family looking for something to do inside to beat the heat. Entirely of fort and museum can be seen in an hour.","Been a couple times but never had the time to actually put some reviews into this hhahaha  The streets were different, it became a one way road now. There are two monument which holds Trophy of Adipura.  Quite good place to hang around at night","We went to Taka Bonerate by plane from Makassar, South Sulawesi and stayed at the Tinobo island resort.  It was gorgeous!  Everyday, 24/7 we swam with 100s baby sharks mostly black and white tips.   The island is a small island which can be circled in 1 hour walk.  The resorts has several air conditioned (AC) rooms and can accommodate about 10-20 people.  It has camping facilities which accommodates more than 20 people.  The island does not have fresh water facilities other than rainwater storage and carted drinking water from neighboring islands.  Everything, including foodstuffs have to be brought in by boat.  Electricity runs from 6am till 00:00.  There is daily regular public boat that connects it to the surrounding islands and mainland Selayar.  At night, the milky-way is crystal clear and it is gorgeous!  We did snorkling and diving and were disappointed by the level of destruction to the (once) beautiful coral reefs and gardens.  There were visible signs of coral destroyed through fish bombings!    During out stay, we met with Indonesia sea police patrol officers who have just apprehended fish bombers and loads of explosives.  They also confiscated a boat.  Taka Bonerate is in dire need of help!  The fish bombing has to be stopped and for this the people of Selayar and Indonesian Government need help!    Please go and visit the Atol and voice your concerns on what you see.  Snorkling and diving in the mainland Selayar is gorgeous!  This is a separate review.?","We arrived the national park to find the price for entry was 10 time more than for locals , 25K for local and 250k for tourists, this is highly unjust and does not encourage us to visit, so we left. We were told that the waterfall and swimming area are really lovely but the?","This stretch of sand at the southern tip of Sulawesi is beach goers paradise.  Its soft white sand and calm water makes it perfect for playing in the water.  The beach also has a small inclination so you can go quite far into the water but still waist deep.  Banana boats,  jet?","Great place to stay with a reasonable price. The room was cozy and comfortable. The bathroom was clean and tidy. Actually I booked for a single bed but it was full,so I got the twin bed. The wifi connection was also slow.","We stay only 1 night in this hotel due to Family is Wedding. Room quite big and clean. Breakfast so many choices, they even serve local menu - Coto Makassar and Sop Saudara which is very tasty. Pool location beside the Restaurant, so after Breakfast you can continue to swim. Hotel location not so far from Airport. All the best for Harper Perintis - Makasar !","Hello. I often visit the rinra Makassar hotel because it makes me comfortable and my friends also enjoy the best service from this hotel. we really like this cool and so beautiful horel architecture in our opinion starting from the lobby, ejection dining to clean rooms. in this hotel too I can be more relaxed enjoying the view of the room overlooking Losari beach"
