Secret,Jatim,Sumber,Balekambang,Museum,The,Aston,Golden
"It is a nice zoo with many types of animals from all over the world but as 7 adults, we did not find the zoo that interesting.  The highlight of the secret zoo is the museum satwa located just outside the zoo exit door.  It is a museum of all kinds of animals displaying life?","remember the last time i went was a low season,and the staff said there is minimum pax to start the ride.this is nonsense,why didn't they mention early when we puchase the tix,so we end up walking around and play nothing.darn!","This waterfall very clear water and hard to get there from the main street, we have to ride Ojek if we dont want to exhausted but if you walk its good for exercise.  After Long walk about 1 Km you will not regrets as we will find beutiful waterfall with clear water.  ","Local government must promote the beaches which were located on south side of Java. Local government must improve the facility to those beaches like road wide, lighting, destination direction, public transportation etc. For tourists who dont have knowledge of Malang area (Malang?","The museum has so many historical cars and motorcycle. They have so many collection of old cars and motorcycle, also they have collection of old plane. Not only just cars collection, they also have collection of traditional transportation. Very recommended place to visit.","Spacious room, big bed, nice garden view, 10 minutes to Museum Angkut and Jatim Park 1. Wi-fi and water heater worked well. Room service is poor though, average time of food served is between 30 mins - 1 hour long. Room cleanliness should be improved, too. But overall, it offers a good value for your money.","The room was clean and spacious, the towel also clear white, love the view from room, love the breakfast with great view to the mountain. Definitely recommended and would stay again on our next trip to batu. ","Its big place and during this pandemic and weekday the hotel was full. Rates was reasonable. Having swimming pool with big slide and having kids pool and play area. Nice room and clean. Next day visited Jalan Jatim Park II which having package includes  1.	Secret zoo ? it?s a zoo with most of the animals. Quite big and lot to walk. Most of the animals available from big to small. Different types of monkeys were there which I feel different with other zoo. There is water play area for kids and so don?t forget to carry kids dress while adults can have lunch. 2.	Eco fun park ? its bird park and a vast area too. Different kinds of parrots and water play area also available. E-bike available in both park if you need to finish all 3 in a day. 3.	Museum satwa ? its about animals?"
"this place is really great especially if you go with youre family and youre kids, my daughter 2years old really exited look at the animal collection, and the place really cool with many trees around","Hello, I would like to say that jp1 is the best theme I could ever found in east java, I went there for uncountable times then finally I get bored Here I just wanna give suggestions because I was ever be the happiest customer <U+263A><U+FE0F> The location, the weather, are the most satisfying?","this wonderful crystal waterfall located at tumpang village,malang regency don't come to this attraction to morning or to evening 3 or 4 PM its the best time to visit this waterfall,its easy to located this waterfall,you have to park your vehicle at the front gate and walk  about 1,5KM down to the waterfall site,the walking journey it little bit exhausting carry your mineral bottle and wear a right shoes or wear mountain sandals,but if you to tired for  walking there's an ""ojek"" available for Rp30.000?","this was the most horrible beach that i?ve ever seen at South Malang...when i arrived almost couldn?t say anything than this horrible beach ever and really dirty, and crazy crowded <U+0001F62D><U+0001F62D>","I was excited to come here and this place is a ""must visit"" if you are in Batu. Many kinds of transportation mode from the ancient and cheap ones until the most advanced and expensive ones.","Nice place to stay with family. My 1 year old boy loves it here. There are few things he can play with (rabbits, fishpool, balls, etc).   Service is quick and complete. From food to transport, anything, just ask.  The location is good. Near jatim park 2, eco greenpark, museum angkot, etc.  Price is affordable. A good offer for all those benefits above.","stay at Aston while on a business trip, it is very pleasant, so it doesn't feel like you are busy, because you can rest fresh, and easy to reach by Online taxi, in the afternoon you can go to the Alun alun Kota Batu, or have a coffee at the hotel.","Check in di bantu oleh Mas Tyo front officer, kami datang awal tapi sangat senang karena di bantu untuk early check in sesuai room yang available. Room dapat yang high floor with an amazing view. Was a pleasure moment. Thank You."
"One of favourite tourist destination in Batu. Near to Golden Tulip Hotel and BNS park. Many kinds of animals from the big ones like elephant, tiger and lion until to the small ones like hamster and mouse. Birds and fish are also available here.","Since they open, i've been here so many times. Price are worthy. Lot's of fun. Every year they always have new rides. The location only 30 minutes from Malang City. And it's a good place to teach your kid about Indonesian Culture.","the place is exotic and relatively unknown to tourists, especially ones from abroad.  it's a challenge to reach the waterfall due to lack of infrastructure, but the seven waterfalls worth the effort. make sure you wear your walking shoes and be prepared to travel light.  i'd suggest you visit the waterfall not during rainy season. the dirt along the road will make it impossible to reach the place.?","went here just to relax soaked with d sun and sands picnic with friends and quiet look alike tanah lot in bali, thats why they named bale=bali :) please keep clean my friends","Imagine you were a kid, you d be happy here! I am happy here, its like you can get everything you want (when you re a kid), they have a park, they have a play ground, they also have cute and amazing colorful place, too many beautiful photo spots here. I really love being here!?","we arrived at about 4pm at the hotel from Surabaya Juanda Airport. The driver from the hotel pick us up and sent us to the hotel directly. Staff and worker of the hotel is really friendly and helpful. the food is cheap. Hotel room is quite spacious, neat and tidy. But there is no refrigerator and iron in the room. Barely have hot water for shower in the bathroom. maybe because they have low supply of hot water. Museum Angkut and Pasar Apung is really near to the hotel. and the city night view is magnifient.","The room was good, but the air conditioner was noisy that made me cant sleep well, and in the early morning the busy kitchen above my room woke me up because lots of noisy of the trollies walked on the kitchen.","I was staying there,as per a recommendation from my brother. I was staying there for a prewedding photo shoot around Batu,Malang.  We decided to stay there,after we spoke through the person in charge that time on a call that we will be able to take some pict around the Resort without even mentioned a minimum package.  During our stay,early in the morning Duty Manager called in a room and he told me that there would be another charge for a prewedding photoshoot there and the minimum package he mentioned 3 million (Indonesian Currency).  If we know about that information in advanced,we would think our best alternative so that our photoshoot would be better in term of timing.  My point to highlight ""it would be great that if the staffs there,most importantly Front of the House?"
Batu Secret Zoo is located in the Jawa Timur Park 2 complex along with Museum Satwa (Wildlife Museum) and Sweet Memories Selfie. Better to visit earlier since it will get more and more crowded and also during rainy season it usually starts to rain during afternoon. Don't forget?,"Malang now grow as a city full of Museums, zoo and edutainment park. This park is the first park that offer another experience to learn about Indonesia. They build many nice dioramas and museum about this country. When your kids getting tired or bored they also offer nice?",,"A beautiful beach located about 70 km south of Malang City, it is an apt location for a family picnic and spending time with friends.   The waters of the Indian Ocean are choppy and tourists are cautioned not to venture too deep. One must also avoid going anywhere near the rocks?","Some indoors and some outdoors. At first, we thought the museum was fully indoors and it looked very meh. Upon exploring, we realised the museum was quite interesting and affordable for the price. Can?t really remember how much we paid but it was the tourist price. Can visit if?","They served nice meals. I and my friend stay for two nights and order different meals every single time, every food that we order is delicious. Five mins walk to Museum Angkut (Transportation Museum), 15mins drive to Batu City Square (Alun-alun batu)","I was there for 3 nights, and Aston Inn Batu is an Awesome hotel. clean room, nice service, good breakfast. And everything is good. And if im going to Batu again I'll stay there again <U+0001F601> Thank you so much!","Last time I stayed here was early October. First time staying again after the pandemic. And it was a comforting and great stay as always, exactly just like before the pandemic. The protocol was great, made me feel safe. Just a little tips, avoid weekends if you have the chance, you?ll feel more comfortable. The facilities still not complete yet (spa and gym), but if you just want to relax and enjoy the ambiance it?s not a big issue. And one thing really special about this hotel is their food! It?s always perfect, no matter you eat for breakfast, lunch or dinner. My favorite is having a cup of hot coffee at the Branche?s balcony in the afternoon, and also enjoying the view from Sky Dome at night while having their delicious Chinese food. Thanks to Mr. Rolland for helping us to?"
I was surprised to know this place is a really great for family holiday. They offer us a great amount of animals integrated with playgrounds. The kids were having so much fun today.,"Angry Nature Miniature portrays that nature will be angry if human doesn't responsible for repair the nature and damage the environment. So, we are human must be responsible for our environment.",,The place is wonderful except for the dirt people creating. I guess the local government need to educate people to keep the area clean all the time.,"Seeing those antique transportion and any replica of unusual transporation that we may not see it everyday. Even when we go upstairs to a replica of a space ship, wooow. Whats so amazing too is replica of gangster town and broadway, uwaaa, we liked it so much.","Plus : - Location is strategic and near with some of attraction such as museum angkut, jawa timur park 1 - Staff is friendly and helpfull  Minus : - No air conditioner except suite room - I stay at cottage type and the room looks old with less lighting  - Cleanliness was lacking - Less water pressure in bathroom  Overall, I am not satisfied","Nice with the room and you have good people. for the area i like it. quite place, good service, for the price no problem because i get more experience for this. LOcation is good near from town and good place.","I really enjoyed my 5 nights stay at Golden Tulip Batu. a huge hotel situated on a high hill, I felt very comfortable at the very first time, Check-in less than 2 minutes, check-out also,  all staff are well trained, friendly efficient led by some young active supervisors and managers with a good English, instance: Mr. Ali (FOM) Guide me to my room, with a warm welcome, Mr. Vincent (Restaurant Manager), he helps me a lot during breakfast. I enjoyed sunrise time from my rooms Balcony. (premier king room) I really have to thank you all in Golden Tulip Batu"
"This is our 2nd time visit thid place... Too bad we hv to visit during a e Rainy day, so we cant really enjoy our trip here. But, this place is a must to visit.  They have area like little zoo with various animals, play zone for children, restaurant, etc.. Suggest to go there on?","It was fun, my kiddos had a great experience to explore there...and we had a good time together..a little suggest, maybe for science area need more improvement such us new invention..",,"Very beautiful place to go, but please keep it clean. It also has very cheap food to eat. Visit it in monday - Friday","Amazing collection of American and European cars, especially the vintage cars. They have some amazing collection of aircrafts too. Tried the B 737 simulator and that was a wonderful experience with a great instructor! We will be back! ","2 star hotel. not very good. toilet clog up and cant flush properly, at night noisy as fk, cant even sleep, the local ppl with the car playing music at 12 am midnight. view is not even mountain view. even we ask for it. I know its budget hotel but ill give this one 2 star. ill choose other place if i have another option","Amazing hotel with wonderfull view in the night. The room so clean, and kids friendly, the air so fresh, location is strategis, my kids so happy can stayed night there, the food is good too, i like all about the hotel","We stayed July 7-8, 2020. Good hotel.  very friendly front office staff.  our room was upgraded.  beautiful view and pretty hotel layout.  thank you for the service for us. We will back again for stay in this hotel."
The animals were happy in the zoo and they is a new born baby elephant called dumbo...There is also a 600 Volt high voltage electric eel.I was also interested about the food. We feed the elephants and baby Dumbo with carrots and we took a picture with parrots and more.,"Jatim Park 1 is a good educational theme park that has additional fun rides and water park for pre-teen and up. It provides several rides and activities for younger children. However, our kids (aged 4 and 6) were not very impressed with the children's rides.   I do think that?",,"I was born in Malang and I went here many times, but now it is not really good anymore because of the people littering in the beach :( If you wanna go here, go further, right beside the hindu temple. in there, the sand is clean and it is more quite and nice. you only have to pay?",Came here quite late at around 5pm but the site was still pretty much crowded. It is open until 8pm and 3 hours is more than enough to walk around. Recommended to buy the ticket via online first to avoid the queue also it's a bit cheaper.  The museum itself hosts a wide variety?,"The Batu Villa offers beautiful view. They give best experience for everyone who wanna spend holiday at Batu. The Location is near from Museum Angkut, Select. You can also enjoy BNS-Batu Night Spectacular at Night.","1 wardrobe door in my room is broken, that?s not a big problem tho but I prefer to get a not-broken one. And I still can hear ppl conversations from the next room, oh and wait until they do videocall with their family, they talk very loudly! I even can hear the voice of their family that they called. That?s a lil bit annoyed me when all I want is a calm and relaxing vibe from Batu. But still, luckily that?s happened ?only? for around 15 mins. Breakfast food was amazing!! Too bad I stayed only for 1 night so I don?t have a chance to try the Belis?s menu. Should stay at Aston Inn Batu again! Hopefully soon <U+2764><U+FE0F>","Very good service, and FO is very friendly, The best thing they have is their facilities. It's children friendly. There's playground, mini waterpark, and water slide. Jacuzzi and sauna were great. Food were good as well. I love this unique hotel. Luxury and so quiet here. The mountain view will be very good from the lobby area in the morning. breakfast is very tasty and many food choices , Love to stay here."
"If you come to batu with kids, this is the place you must visit first. Soo nice, a lot of animals, the zoo was clean, many toilets, well maintained. You can rent ebike if you come here with eldery who cannot walk for a long time. We take photos with the parrot and pay only?","I am here with my family. With the price of 100k tickets for the weekend, very affordable. For a single ticket, the price is 130k.   Moreover, we can enjoy many facilities provided. In addition to educational tours, there is a playground, and a swimming pool. Rides for teenagers?",,"Visited this beautiful temple and because it was national holiday, it was very crowded with locals. No other tourists in sight! Worth the stunning drive from Malang.","It?s a very worth spot and a must visit place in Batu, Malang. I really recommend this museum. Huge area with vintage cars and motorbike, planes, and all kind of transportation even replica of President?s aeroplane. There are section of London with Buckingham palace, Italy, USA,?","We're family of 6 with with 3adults+3children. The staffs are friendly, the rooms are spacious (but without air-conditioning inside), in the lobby area there is a bilyard and ""karambol"" table so the kids can play during waiting for the food / our car to arrive.  In the lobby floor there is 'warung batu', their restaurant served breakfast-dinner, the food is affordable and quite tasty..  The place itself near museum angkut, you can walk about 5minutes to get there.","One of the most value for money 4 stars hotel in the area. Breakfast was included during my stay, food was good, service was excellent.   Room is kinda small but is sufficient, having an issue with the aircon, it is not a central unit, is using split unit AC, waster dripping for 2 nights. It is small and takes time to cold down the room.  Amenities are not being refilled until personally had to request from the room service team.","Golden Tulip Holland Resort is one of the 5 star hotel which has strategic location near Batu Secret Zoo, Eco Green Park and Batu Night Spectacular. Located inside housing resort, it is a valuable hotel which need to be considered when you want a complete facilities with young children.  I booked Deluxe King.  This hotel is divided into 2 building. My room was in the same building with lobby. The room is very spacious  for family with young children and has balcony. My room was completed by table set, sofa, TV, phone, hair dryer The bathroom and toilet is separated by partition, but still  in the same room. The toiletries are complete : soap, shampoo, shower cap, dental kit, shaving kit, lotion, and phone.  Breakfast menu was very complete. You can have porridge, Indonesian menu?"
We loved the zoo and the children loved the rides. You can't compare the rides with Disneyland or USS. It was still fun for the children.  Food was just so so. ,"Basically this place is very educating and entertaining. However it needs lots of maintenance here and there considering that this place is quite old.   They have a terrific concept from Indonesian culture, history until science. Very interesting actually especially for bigger?",,Good place for study here.. The pretty of beach and there is a small of temple at a small island here... there so many food courner also so don't worry.,"Much more than i expected,  top class day out...brought back many memories of my childhood,  would be glad to go back....","The location is strategically, the cleanliness of the rooms is very maintained, the restaurant provides good service. Best hotel in its class, The facilities are very nice,And the price is very cheap.",they are located in the center of batu attraction (near museum angkut). museum angkut is walk distance if you wanna visit. the room is clean. we didnt have the breakfast at the hotel and ask for take away (because we go early in the morning) and it taste great :),"Best Resort in batu, number one view, verry relaxing, friendly staf specially Miss Reni from the Receptionist, verry helpfull to guest. Location far from noises. Always number one services. The sunrise view from my room is amazingly surprising."
"To be honest, I've only been to several zoos in Indonesia.  Bandung, Taman Safari, Bali Safari and , Ragunan ... and I'd rank Batu Secret Zoo as the best zoo for me.  You can spend a day exploring the zoo (I did).    What I like: 1.  You can either walk or rent a e-Cart 2.  The?",Attractive place to go with the young children or teenagers. Museum tubuh is interesting and educating. The outdoor activities are challenging and tempting to try more and more. All activities has minimum height is 130 cm for children and not reccommended for pregnant women.?,,The Pura (Temple) looks like Tanah Lot at Bali. It was my first time seeing big waves at Balekambang Beach. You can only swim near the small island where the temple is. We was advised not to wear green when visiting beaches along the area.,"Museum Angkut is huge, feels like you're not in Indonesia. Full of transportation stuff and has thousands spot to take picture. Entrance ticket is worth for the whole journey inside the museum.","You should try to stay here. The scene is very cool, the place is comfortable, clean, very good service, the food is very nice and affordable. Available shuttle and pick up facilities and vehicle rental, that's very useful for guests who don't bring a vehicle. ","Stayed 2 nights with family and overall experience was average.  Checked-in staffs are chatty, welcoming and assigned quickly into Family room; however, very strict on key rooms as we have mentioned staying in Family room means we need 3 keys but this being ignored - strictly 2 only.  Totally appreciate the sustainability concept of the hotel to provide water dispenser.  The breakfast option are very typical Aston with large varieties of local delicacies but comes with beautiful mountain views on the rooftop. The room was a bit dark and need to be bright to create more spacious feeling.","Best hotel that I've stay before. It's my first time in Batu, Malang. They have a good service, good place and awesome food. They also have a nice pool and best location hotel. You can see the whole city from this hotel. The room are big, clean and comfy. I very recommend this hotel if you want to stay in Batu, Malang"
